[2014/10/11 - 12:36:23] Te han sancionado, por 1 minuto(s). Razón: Prueba
[2014/10/19 - 12:23:38] Te han sancionado, por 1 minuto(s). Razón: PRUEBA
[2014/10/30 - 15:51:38] Te han sancionado, por 1 minuto(s). Razón: 1
[2014/10/30 - 15:52:16] Te han sancionado, por 1 minuto(s). Razón: 0
[2014/10/30 - 15:52:21] Te han sancionado, por 0 minuto(s). Razón: 0
[2016/10/8 - 15:57:35] [AdmCmd]: Ignacio Sanchez fué sancionado por Takeshi Yuki, razón: NRH, tiempo: 5 minuto(s)
[2016/10/8 - 17:47:26] [AdmCmd]: Erick Gonzalez fué sancionado por Joaco DeAvila, razón: NRH, tiempo: 10 minuto(s)
[2016/10/8 - 18:10:13] [AdmCmd]: Santino Lansky fué sancionado por Bayron Wazouky, razón: NRH, tiempo: 5 minuto(s)
[2016/10/8 - 18:17:13] [AdmCmd]: Juanjo Jimenez fué sancionado por Azarel Thawne, razón: BD, tiempo: 5 minuto(s)
[2016/10/8 - 18:30:41] [AdmCmd]: Juanjo Jimenez fué sancionado por Azarel Thawne, razón: NRH (20 veces te dije)., tiempo: 5 minuto(s)
[2016/10/8 - 18:32:32] [AdmCmd]: Andres Beltran fué sancionado por Azarel Thawne, razón: DM, tiempo: 5 minuto(s)
[2016/10/8 - 18:33:23] [AdmCmd]: Angel Luis fué sancionado por Azarel Thawne, razón: PG (Un Policía no saca la escopeta para retirarlo de un l
[2016/10/8 - 18:44:56] [AdmCmd]: Andres Beltran fué sancionado por Bayron Wazouky, razón: MG, tiempo: 5 minuto(s)
[2016/10/8 - 18:49:15] [AdmCmd]: Raul Fernandeziel fué sancionado por Bayron Wazouky, razón: NRH , tiempo: 5 minuto(s)
[2016/10/8 - 18:58:15] [AdmCmd]: Facundo Gonzales fué sancionado por Bayron Wazouky, razón: NRC + BBH, tiempo: 10 minuto(s)
[2016/10/8 - 19:13:41] [AdmCmd]: Lukas Wallance fué sancionado por Bayron Wazouky, razón: PG2 [[2veces]], tiempo: 15 minuto(s)
[2016/10/8 - 19:18:15] [AdmCmd]: Carmelo Lule fué sancionado por Azarel Thawne, razón: DM, tiempo: 5 minuto(s)
[2016/10/8 - 19:21:43] [AdmCmd]: Angel Luis fué sancionado por Juan Soriano, razón: BD, tiempo: 5 minuto(s)
[2016/10/8 - 19:41:17] [AdmCmd]: Diego Holos fué sancionado por Bayron Wazouky, razón: CJ , tiempo: 5 minuto(s)
[2016/10/8 - 19:51:23] [AdmCmd]: Raul Fernandeziel fué sancionado por Juan Soriano, razón: MG, tiempo: 5 minuto(s)
[2016/10/8 - 20:1:51] [AdmCmd]: Pablo Villalobos fué sancionado por Azarel Thawne, razón: PG ((Llantas pinchadas andando)), tiempo: 5 minuto(
[2016/10/8 - 20:21:41] [AdmCmd]: Santiago Sosa fué sancionado por Bayron Wazouky, razón: CJ, tiempo: 5 minuto(s)
[2016/10/8 - 21:29:49] [AdmCmd]: Belu Agustina fué sancionado por Bayron Wazouky, razón: AIOOC, tiempo: 60 minuto(s)
[2016/10/8 - 21:30:14] [AdmCmd]: Victor Osorio fué sancionado por Azarel Thawne, razón: BD, tiempo: 5 minuto(s)
[2016/10/8 - 21:47:49] [AdmCmd]: Ernesto Beltran fué sancionado por Azarel Thawne, razón: NRH, tiempo: 5 minuto(s)
[2016/10/8 - 22:0:48] [AdmCmd]: Juanjo Jimenez fué sancionado por Fady Saba, razón: DM, tiempo: 5 minuto(s)
[2016/10/8 - 22:9:45] [AdmCmd]: Kenjy Menendez fué sancionado por Fady Saba, razón: CJ, tiempo: 5 minuto(s)
[2016/10/8 - 22:9:51] [AdmCmd]: Alejandro Menendez fué sancionado por Fady Saba, razón: CJ, tiempo: 5 minuto(s)
[2016/10/8 - 22:34:14] [AdmCmd]: Aaron Petterino fué sancionado por Fady Saba, razón: CJ, tiempo: 5 minuto(s)
[2016/10/8 - 23:19:22] [AdmCmd]: Daniel Britos fué sancionado por Fady Saba, razón: DM, tiempo: 5 minuto(s)
[2016/10/8 - 23:25:9] [AdmCmd]: Juanjo Jimenez fué sancionado por Aaron WestBrook, razón: NRH., tiempo: 10 minuto(s)
[2016/10/9 - 0:5:40] [AdmCmd]: Juanjo Jimenez fué sancionado por Azarel Thawne, razón: NRH, tiempo: 5 minuto(s)
[2016/10/9 - 0:17:13] [AdmCmd]: Fran Perez fué sancionado por Azarel Thawne, razón: PG + NRH (Cadete patrullando), tiempo: 8 minuto(s)
[2016/10/9 - 0:19:4] [AdmCmd]: Javier Marin fué sancionado por Azarel Thawne, razón: MG (No se usan caras en el /me), tiempo: 5 minuto(s)
[2016/10/9 - 0:34:18] [AdmCmd]: Javier Marin fué sancionado por Bayron Wazouky, razón: PG, tiempo: 10 minuto(s)
